Item#,Description,Metal,Gms,Categories,Collections,Diamond Quality,Size,Quantity OH,Price,Image
KJ00066P.CE-2-23G,14KR 2ctw (CE-2ctr) G+VS+ LGD PEND 0.9gms,14KR,0.94,PEND,,G+VS+,,1,889,https://images.kirajewels.net/USA/KJ00066P.CE-2-23.png
KJ00066P.OV-1-22F,14KY 1ctw (OV-1ctr) F+VS+ LGD PEND 0.6gms,14KY,0.62,PEND,,F+VS+,,1,588,https://images.kirajewels.net/USA/KJ00066P.OV-1-22F.png
KJ00066P.OV-1-23F,14KR 1ctw (OV-1ctr) F+VS+ LGD PEND 0.6gms,14KR,0.58,PEND,,F+VS+,,1,588,https://images.kirajewels.net/USA/KJ00066P.OV-2-23.png
KJ00066P.OV-2-21F,14KW 2ctw (OV-2ctr) F+VS+ LGD PEND 0.9gms,14KW,0.91,PEND,,F+VS+,,1,927,https://images.kirajewels.net/USA/KJ00066P.OV-2-21.png
KJ00066P.OV-2-21FP,14KW 2ctw (OV-2ctr) F+VS+/PINK LGD PEND 0.8gms,14KW,0.8,PEND,,F+VS+,,1,1368,
KJ00066P.OV-2-22F,14KY 2ctw (OV-2ctr) F+VS+ LGD PEND 0.9gms,14KY,0.91,PEND,,F+VS+,,1,927,https://images.kirajewels.net/USA/KJ00066P.OV-1-22F.png
KJ00066P.OV-3-22F,14KY 3ctw (OV-3ctr) F+VS+ LGD PEND 1.3gms,14KY,1.34,PEND,,F+VS+,,1,1359,https://images.kirajewels.net/USA/KJ00066P.OV-1-22F.png
KJ00066P.OV-3-23F,14KR 3ctw (OV-3ctr) F+VS+ LGD PEND 1.3gms,14KR,1.3,PEND,,F+VS+,,1,1359,https://images.kirajewels.net/USA/KJ00066P.OV-2-23.png
KJ00066P.PR-1-23F,14KR 1ctw (PR-1ctr) F+VS+ LGD PEND 0.5gms,14KR,0.52,PEND,,F+VS+,,2,590,https://images.kirajewels.net/USA/KJ00066P.PR-2-23.png
KJ00066P.PR-2-21F,14KW 2ctw (PR-2ctr) F+VS+ LGD PEND 0.9gms,14KW,0.95,PEND,,F+VS+,,1,960,https://images.kirajewels.net/USA/KJ00066P.PR-2-21.png
KJ00066P.PR-2-21FB,14KW 2ctw (PR-2ctr) F+VS+/BLUE LGD PEND 0.9gms,14KW,0.95,PEND,,F+VS+,,1,1159,
KJ00066P.PR-2-22F,14KY 2ctw (PR-2ctr) F+VS+ LGD PEND 0.9gms,14KY,0.9,PEND,,F+VS+,,1,960,https://images.kirajewels.net/USA/KJ00066P.PR-2-22.png
KJ00066P.PR-2-23FP,14KR 2ctw (PR-2ctr) F+VS+/PINK LGD PEND 1gms,14KR,0.98,PEND,,F+VS+,,1,1379,
KJ00066P.PR-3-21F,14KW 3ctw (PR-3ctr) F+VS+ LGD PEND 1.3gms,14KW,1.35,PEND,,F+VS+,,6,1291,https://images.kirajewels.net/USA/KJ00066P.PR-2-21.png
KJ00066P.PR-3-21F,14KW 3ctw (PR-3ctr) F+VS+ LGD PEND 1.3gms,14KW,1.35,PEND,,F+VS+,,2,1291,https://images.kirajewels.net/USA/KJ00066P.PR-2-21.png
KJ00066P.PR-3-22F,14KY 3ctw (PR-3ctr) F+VS+ LGD PEND 1.3gms,14KY,1.34,PEND,,F+VS+,,5,1291,https://images.kirajewels.net/USA/KJ00066P.PR-2-22.png
KJ00066P.PR-3-22F,14KY 3ctw (PR-3ctr) F+VS+ LGD PEND 1.3gms,14KY,1.34,PEND,,F+VS+,,2,1291,https://images.kirajewels.net/USA/KJ00066P.PR-2-22.png
KJ00066P.PR-3-23F,14KR 3ctw (PR-3ctr) F+VS+ LGD PEND 1.4gms,14KR,1.36,PEND,,F+VS+,,1,1291,https://images.kirajewels.net/USA/KJ00066P.PR-2-23.png
KJ00066P.PS-1-21F,14KW 1ctw (PS-1ctr) F+VS+ LGD PEND 0.7gms,14KW,0.68,PEND,,F+VS+,,1,566,https://images.kirajewels.net/USA/KJ00066P.PS-1-21F.png
KJ00066P.PS-1-23F,14KR 1ctw (PS-1ctr) F+VS+ LGD PEND 0.7gms,14KR,0.7,PEND,,F+VS+,,1,566,https://images.kirajewels.net/USA/KJ00066P.PS-2-23.png
KJ00066P.PS-2-21F,14KW 2ctw (PS-2ctr) F+VS+ LGD PEND 1gms,14KW,1.01,PEND,,F+VS+,,1,902,https://images.kirajewels.net/USA/KJ00066P.PS-1-21F.png
KJ00066P.PS-2-21F,14KW 2ctw (PS-2ctr) F+VS+ LGD PEND 1gms,14KW,1.01,PEND,,F+VS+,,1,902,https://images.kirajewels.net/USA/KJ00066P.PS-1-21F.png
KJ00066P.PS-2-21FB,14KW 2ctw (PS-2ctr) F+VS+/BLUE LGD PEND 1gms,14KW,1.03,PEND,,F+VS+,,1,1167,
KJ00066P.PS-2-23FP,14KR 2ctw (PS-2ctr) F+VS+ /PINK/LGD PEND 1gms,14KR,1.03,PEND,,F+VS+,,1,1388,
KJ00066P.PS-3-21F,14KW 3ctw (PS-3ctr) F+VS+ LGD PEND 1.5gms,14KW,1.5,PEND,,F+VS+,,1,1207,https://images.kirajewels.net/USA/KJ00066P.PS-1-21F.png
KJ00066P.RD-1-21V,14KW 1ctw (RD-1ctr) F+VVS+ LGD PEND 0.6gms,14KW,0.61,PEND,,F+VVS+,,1,734,https://images.kirajewels.net/USA/KJ00066P.RD-2-21.jpg
KJ00066P.RD-1-22F,14KY 1ctw (RD-1ctr) F+VS+ LGD PEND 0.6gms,14KY,0.61,PEND,,F+VS+,,1,619,https://images.kirajewels.net/USA/KJ00066P.RD-1-22F.jpg
KJ00066P.RD-1-23F,14KR 1ctw (RD-1ctr) F+VS+ LGD PEND 0.6gms,14KR,0.61,PEND,,F+VS+,,1,619,https://images.kirajewels.net/USA/KJ00066P.RD-2-23.jpg
KJ00066P.RD-2-21FB,14KW 2ctw (RD-2ctr) F+VS+/BLUE LGD PEND 0.9gms,14KW,0.88,PEND,,F+VS+,,1,1151,
KJ00066P.RD-2-21FG,14KW 2.2ctw (RD-2.2ctr) F+VVS+/GREEN LGD PEND 0.9gms,14KW,0.89,PEND,,F+VVS+,,1,974,
KJ00066P.RD-2-22G,14KY 2ctw (RD-2ctr) G+VS+ LGD PEND 0.9gms,14KY,0.93,PEND,,G+VS+,,1,974,https://images.kirajewels.net/USA/KJ00066P.RD-1-22F.jpg
KJ00066P.RD-3-21F,14KW 3ctw (RD-3ctr) F+VS+ LGD PEND 1.3gms,14KW,1.3,PEND,,F+VS+,,1,1413,https://images.kirajewels.net/USA/KJ00066P.RD-2-21.jpg
KJ00066P.RD-3-23F,14KR 3ctw (RD-3ctr) F+VS+ LGD PEND 1.3gms,14KR,1.28,PEND,,F+VS+,,1,1413,https://images.kirajewels.net/USA/KJ00066P.RD-2-23.jpg
KJ00075P.CE-1-22F,14KY 1ctw (CE-1ctr) F+VS+ LGD PEND 0.4gms,14KY,0.43,PEND,,F+VS+,,1,555,https://images.kirajewels.net/USA/KJ00075P.CE-1-22F.jpg
KJ00075P.CE-1-23F,14KR 1ctw (CE-1ctr) F+VS+ LGD PEND 0.4gms,14KR,0.43,PEND,,F+VS+,,1,555,https://images.kirajewels.net/USA/KJ00075P.CE-2-23.jpg
KJ00075P.CE-1-23F,14KR 1ctw (CE-1ctr) F+VS+ LGD PEND 0.4gms,14KR,0.43,PEND,,F+VS+,,1,555,https://images.kirajewels.net/USA/KJ00075P.CE-2-23.jpg
KJ00075P.CE-2-21G,14KW 2ctw [D=1(CE-2ctr)] G+VS+ Pendant 0.65gms,14KW,0.65,PEND,,G+VS+,,1,0,https://images.kirajewels.net/USA/KJ00075P.CE-2.5-21G.jpg
KJ00075P.OV-1-21FO,14KW 1ctw (OV-1ctr) F+VS+/ORANGE LGD PEND 0.3gms,14KW,0.32,PEND,,F+VS+,,1,933,
KJ00075P.OV-1-22F,14KY 1ctw (OV-1ctr) F+VS+ LGD PEND 0.4gms,14KY,0.39,PEND,,F+VS+,,1,552,https://images.kirajewels.net/USA/KJ00075P.OV-1-22F.jpg
KJ00075P.OV-1-23F,14KR 1ctw (OV-1ctr) F+VS+ LGD PEND 0.2gms,14KR,0.15,PEND,,F+VS+,,1,552,https://images.kirajewels.net/USA/KJ00075P.OV-2-23.jpg
KJ00075P.OV-2-21F,14KW 2ctw (OV-2ctr) F+VS+ LGD PEND 0.6gms,14KW,0.6,PEND,,F+VS+,,1,897,https://images.kirajewels.net/USA/KJ00075P.OV-2-21.jpg
KJ00075P.OV-2-21FB,14KW 2ctw (OV-2ctr) F+VS+/BLUE LGD PEND 0.6gms,14KW,0.6,PEND,,F+VS+,,1,1118,
KJ00075P.OV-2-22F,14KY 2ctw (OV-2ctr) F+VS+ LGD PEND 0.6gms,14KY,0.63,PEND,,F+VS+,,1,897,https://images.kirajewels.net/USA/KJ00075P.OV-1-22F.jpg
KJ00075P.OV-3-21F,14KW 3ctw (OV-3ctr) F+VS+ LGD PEND 0.8gms,14KW,0.77,PEND,,F+VS+,,1,1278,https://images.kirajewels.net/USA/KJ00075P.OV-2-21.jpg
KJ00075P.OV-3-33F,18KR 3ctw (OV-3ctr) F+VS+ LGD PEND 2.7gms,18KR,2.69,PEND,,F+VS+,,1,1278,https://images.kirajewels.net/USA/KJ00075P.OV-2-23.jpg
KJ00075P.PR-1-21F,14KW 1ctw (PR-1ctr) F+VS+ LGD PEND 0.3gms,14KW,0.31,PEND,,F+VS+,,1,564,https://images.kirajewels.net/USA/KJ00075P.PR-1-21F.jpg
KJ00075P.PR-1-22F,14KY 1ctw (PR-1ctr) F+VS+ LGD PEND 0.4gms,14KY,0.36,PEND,,F+VS+,,1,564,https://images.kirajewels.net/USA/KJ00075P.PR-2-22.jpg
KJ00075P.PR-1-23F,14KR 1ctw (PR-1ctr) F+VS+ LGD PEND 0.3gms,14KR,0.35,PEND,,F+VS+,,2,564,https://images.kirajewels.net/USA/KJ00075P.PR-2-23.jpg
KJ00075P.PR-2-22F,14KY 2ctw (PR-2ctr) F+VS+ LGD PEND 0.4gms,14KY,0.41,PEND,,F+VS+,,1,897,https://images.kirajewels.net/USA/KJ00075P.PR-2-22.jpg
KJ00075P.PR-2-23F,14KR 2ctw (PR-2ctr) F+VS+ LGD PEND 0.5gms,14KR,0.54,PEND,,F+VS+,,1,897,https://images.kirajewels.net/USA/KJ00075P.PR-2-23.jpg
KJ00075P.PR-3-22F,14KY 3ctw (PR-3ctr) F+VS+ LGD PEND 0.6gms,14KY,0.55,PEND,,F+VS+,,1,1186,https://images.kirajewels.net/USA/KJ00075P.PR-2-22.jpg
KJ00075P.PR-3-23F,14KR 3ctw (PR-3ctr) F+VS+ LGD PEND 0.6gms,14KR,0.6,PEND,,F+VS+,,1,1186,https://images.kirajewels.net/USA/KJ00075P.PR-2-23.jpg
KJ00075P.PS-1-21F,14KW 1ctw (PS-1ctr) F+VS+ LGD PEND 0.4gms,14KW,0.44,PEND,,F+VS+,,2,535,https://images.kirajewels.net/USA/KJ00075P.PS-1-21F.jpg
KJ00075P.PS-1-21F,14KW 1ctw (PS-1ctr) F+VS+ LGD PEND 0.4gms,14KW,0.44,PEND,,F+VS+,,1,535,https://images.kirajewels.net/USA/KJ00075P.PS-1-21F.jpg
KJ00075P.PS-1-22F,14KY 1ctw (PS-1ctr) F+VS+ LGD PEND 0.4gms,14KY,0.44,PEND,,F+VS+,,1,535,https://images.kirajewels.net/USA/KJ00075P.PS-2-22.jpg
